Interface,Sequence Number,Arrival Time,Latency
121.128.92.46,0,1721294430.3179736,0.20464158058166504
121.128.92.46,1,1721294430.3509414,0.20420241355895996
121.128.92.46,2,1721294430.3934076,0.2131805419921875
121.128.92.46,3,1721294430.418415,0.2045750617980957
121.128.92.46,4,1721294430.451784,0.2042229175567627
121.128.92.46,5,1721294430.4856393,0.20467424392700195
121.128.92.46,6,1721294430.518826,0.204118013381958
121.128.92.46,7,1721294430.5531943,0.20467519760131836
121.128.92.46,8,1721294430.5860164,0.20366334915161133
121.128.92.46,9,1721294430.621812,0.20558810234069824
121.128.92.46,10,1721294430.65483,0.20465397834777832
121.128.92.46,11,1721294430.6884687,0.20450878143310547
121.128.92.46,12,1721294430.7272527,0.20944476127624512
121.128.92.46,13,1721294430.764165,0.21242403984069824
121.128.92.46,14,1721294430.7910104,0.2053844928741455
121.128.92.46,15,1721294430.8426135,0.22320055961608887
121.128.92.46,16,1721294430.857845,0.20465898513793945
121.128.92.46,17,1721294430.8917053,0.20465731620788574
121.128.92.46,18,1721294430.924997,0.20454120635986328
121.128.92.46,19,1721294430.9594324,0.20546627044677734
121.128.92.46,20,1721294431.0094888,0.22167587280273438
121.128.92.46,21,1721294431.027142,0.20559310913085938
121.128.92.46,22,1721294431.0611486,0.2062525749206543
121.128.92.46,23,1721294431.0961063,0.20730137825012207
121.128.92.46,24,1721294431.1505818,0.22796273231506348
121.128.92.46,25,1721294431.1824136,0.22606563568115234
121.128.92.46,26,1721294431.2016637,0.2120368480682373
121.128.92.46,27,1721294431.2280421,0.20455622673034668
121.128.92.46,28,1721294431.2610896,0.20383954048156738
121.128.92.46,29,1721294431.3032532,0.21240806579589844
121.128.92.46,30,1721294431.3288758,0.2041947841644287
121.128.92.46,31,1721294431.3632233,0.20469141006469727
121.128.92.46,32,1721294431.3958733,0.2040421962738037
121.128.92.46,33,1721294431.4306898,0.2050158977508545
121.128.92.46,34,1721294431.464103,0.20506691932678223
121.128.92.46,35,1721294431.4974463,0.20476436614990234
121.128.92.46,36,1721294431.531301,0.2052459716796875
121.128.92.46,37,1721294431.56444,0.20442795753479004
121.128.92.46,38,1721294431.5979095,0.2042543888092041
121.128.92.46,39,1721294431.6340923,0.20678925514221191
121.128.92.46,40,1721294431.6650522,0.20389914512634277
121.128.92.46,41,1721294431.6994867,0.20468878746032715
121.128.92.46,42,1721294431.7326286,0.20438146591186523
121.128.92.46,43,1721294431.7663896,0.20468759536743164
121.128.92.46,44,1721294431.801068,0.20554018020629883
121.128.92.46,45,1721294431.8339577,0.20466971397399902
121.128.92.46,46,1721294431.8670866,0.20398473739624023
121.128.92.46,47,1721294431.902162,0.20533108711242676
121.128.92.46,48,1721294431.9344685,0.20389056205749512
121.128.92.46,49,1721294431.9688091,0.20473814010620117
121.128.92.46,50,1721294432.0021865,0.20452451705932617
121.128.92.46,51,1721294432.0361948,0.20487475395202637
121.128.92.46,52,1721294432.069067,0.20441198348999023
121.128.92.46,53,1721294432.1029146,0.20508265495300293
121.128.92.46,54,1721294432.135819,0.2043149471282959
121.128.92.46,55,1721294432.1698148,0.20493578910827637
121.128.92.46,56,1721294432.202942,0.20447587966918945
121.128.92.46,57,1721294432.2364163,0.2045903205871582
121.128.92.46,58,1721294432.2762117,0.2109847068786621
121.128.92.46,59,1721294432.3030467,0.20432281494140625
121.128.92.46,60,1721294432.3418756,0.2097015380859375
121.128.92.46,61,1721294432.3699315,0.20411443710327148
121.128.92.46,62,1721294432.4037793,0.20424127578735352
121.128.92.46,63,1721294432.4379015,0.20456647872924805
121.128.92.46,64,1721294432.4714963,0.20439743995666504
121.128.92.46,65,1721294432.505012,0.20409512519836426
121.128.92.46,66,1721294432.5404267,0.2056596279144287
121.128.92.46,67,1721294432.5732214,0.2046194076538086
121.128.92.46,68,1721294432.6070707,0.2049555778503418
121.128.92.46,69,1721294432.6428723,0.20737934112548828
121.128.92.46,70,1721294432.6744106,0.20505452156066895
121.128.92.46,71,1721294432.708037,0.20527386665344238
121.128.92.46,72,1721294432.7467315,0.2106795310974121
121.128.92.46,73,1721294432.7745929,0.20484089851379395
121.128.92.46,74,1721294432.8084297,0.20490670204162598
121.128.92.46,75,1721294432.8419173,0.2045762538909912
121.128.92.46,76,1721294432.8760026,0.20484447479248047
121.128.92.46,77,1721294432.909704,0.20512700080871582
121.128.92.46,78,1721294432.9425197,0.20447754859924316
121.128.92.46,79,1721294433.0124311,0.24057602882385254
121.128.92.46,80,1721294433.0127132,0.20739412307739258
121.128.92.46,81,1721294433.057265,0.21827411651611328
121.128.92.46,82,1721294433.1278374,0.25539731979370117
121.128.92.46,83,1721294433.1297808,0.22361469268798828
121.128.92.46,84,1721294433.146015,0.20625591278076172
121.128.92.46,85,1721294433.178906,0.2053380012512207
121.128.92.46,86,1721294433.212442,0.20484495162963867
121.128.92.46,87,1721294433.2463925,0.20500540733337402
121.128.92.46,88,1721294433.2875047,0.21225976943969727
121.128.92.46,89,1721294433.3140001,0.20544719696044922
121.128.92.46,90,1721294433.3483434,0.2065744400024414
121.128.92.46,91,1721294433.382067,0.20635199546813965
121.128.92.46,92,1721294433.4160979,0.20660877227783203
121.128.92.46,93,1721294433.4506397,0.20752882957458496
121.128.92.46,94,1721294433.4953976,0.2185065746307373
121.128.92.46,95,1721294433.515078,0.20455217361450195
121.128.92.46,96,1721294433.5491629,0.20513582229614258
121.128.92.46,97,1721294433.582702,0.20526385307312012
121.128.92.46,98,1721294433.6160955,0.20508861541748047
121.128.92.46,99,1721294433.6499324,0.20498037338256836
121.128.92.46,100,1721294433.6828308,0.20407390594482422
121.128.92.46,101,1721294433.7165942,0.20399832725524902
121.128.92.46,102,1721294433.7504299,0.20424985885620117
121.128.92.46,103,1721294433.7844248,0.20444989204406738
121.128.92.46,104,1721294433.8187413,0.20497536659240723
121.128.92.46,105,1721294433.8523648,0.20475387573242188
121.128.92.46,106,1721294433.8859818,0.20480585098266602
121.128.92.46,107,1721294433.9198508,0.20487689971923828
121.128.92.46,108,1721294433.9527318,0.20437073707580566
121.128.92.46,109,1721294433.98659,0.20448899269104004
121.128.92.46,110,1721294434.020452,0.20474791526794434
121.128.92.46,111,1721294434.054306,0.20482897758483887
121.128.92.46,112,1721294434.0881698,0.20502376556396484
121.128.92.46,113,1721294434.122022,0.20508790016174316
121.128.92.46,114,1721294434.1549141,0.20419907569885254
121.128.92.46,115,1721294434.1890156,0.2045435905456543
121.128.92.46,116,1721294434.222879,0.20458292961120605
121.128.92.46,117,1721294434.2566047,0.20478463172912598
121.128.92.46,118,1721294434.290405,0.20504498481750488
121.128.92.46,119,1721294434.323338,0.2041330337524414
121.128.92.46,120,1721294434.3569307,0.20392680168151855
121.128.92.46,121,1721294434.3938692,0.2071211338043213
121.128.92.46,122,1721294434.4246469,0.20414495468139648
121.128.92.46,123,1721294434.4585357,0.2042527198791504
121.128.92.46,124,1721294434.4933221,0.20531415939331055
121.128.92.46,125,1721294434.5261471,0.20482110977172852
121.128.92.46,126,1721294434.5599327,0.20498061180114746
121.128.92.46,127,1721294434.5929074,0.20441937446594238
121.128.92.46,128,1721294434.6278114,0.20554447174072266
121.128.92.46,129,1721294434.6611829,0.20508885383605957
121.128.92.46,130,1721294434.6938286,0.2043766975402832
121.128.92.46,131,1721294434.7306442,0.20747613906860352
121.128.92.46,132,1721294434.7614722,0.2047412395477295
121.128.92.46,133,1721294434.7953246,0.205000638961792
121.128.92.46,134,1721294434.8291917,0.20519661903381348
121.128.92.46,135,1721294434.861939,0.20426702499389648
121.128.92.46,136,1721294434.895803,0.20459890365600586
121.128.92.46,137,1721294434.9297698,0.20464277267456055
121.128.92.46,138,1721294434.96389,0.2049109935760498
121.128.92.46,139,1721294434.9988244,0.20635533332824707
121.128.92.46,140,1721294435.031232,0.2051842212677002
121.128.92.46,141,1721294435.0634046,0.2040555477142334
121.128.92.46,142,1721294435.100309,0.20753192901611328
121.128.92.46,143,1721294435.1319685,0.20569753646850586
121.128.92.46,144,1721294435.1640146,0.2042524814605713
121.128.92.46,145,1721294435.2036724,0.21040749549865723
121.128.92.46,146,1721294435.2315056,0.2045135498046875
121.128.92.46,147,1721294435.2653718,0.2044386863708496
121.128.92.46,148,1721294435.2993526,0.20477771759033203
121.128.92.46,149,1721294435.3332849,0.20493674278259277
121.128.92.46,150,1721294435.367064,0.20489001274108887
121.128.92.46,151,1721294435.4000707,0.20428967475891113
121.128.92.46,152,1721294435.434059,0.20452189445495605
121.128.92.46,153,1721294435.467529,0.2047271728515625
121.128.92.46,154,1721294435.5005682,0.2044081687927246
121.128.92.46,155,1721294435.5344305,0.20467162132263184
121.128.92.46,156,1721294435.5682871,0.20471405982971191
121.128.92.46,157,1721294435.6011832,0.20421624183654785
121.128.92.46,158,1721294435.6357648,0.20517373085021973
121.128.92.46,159,1721294435.6697161,0.20558404922485352
121.128.92.46,160,1721294435.7037296,0.20592665672302246
121.128.92.46,161,1721294435.7360306,0.20487165451049805
121.128.92.46,162,1721294435.769493,0.20447707176208496
121.128.92.46,163,1721294435.806109,0.20725798606872559
121.128.92.46,164,1721294435.8380466,0.20543265342712402
121.128.92.46,165,1721294435.8743012,0.20786213874816895
121.128.92.46,166,1721294435.9051783,0.20477819442749023
121.128.92.46,167,1721294435.9387991,0.20472121238708496
121.128.92.46,168,1721294435.9738638,0.20594477653503418
121.128.92.46,169,1721294436.0065935,0.2052304744720459
121.128.92.46,170,1721294436.0394094,0.20426630973815918
121.128.92.46,171,1721294436.0732613,0.20467114448547363
121.128.92.46,172,1721294436.1073713,0.20507526397705078
121.128.92.46,173,1721294436.1404932,0.20475006103515625
121.128.92.46,174,1721294436.1737127,0.2045276165008545
121.128.92.46,175,1721294436.2080522,0.20525312423706055
121.128.92.46,176,1721294436.2427897,0.20627379417419434
121.128.92.46,177,1721294436.2745028,0.20439386367797852
121.128.92.46,178,1721294436.3084476,0.20463061332702637
121.128.92.46,179,1721294436.3422995,0.2050154209136963
121.128.92.46,180,1721294436.3748682,0.20402812957763672
121.128.92.46,181,1721294436.4090493,0.2048652172088623
121.128.92.46,182,1721294436.443001,0.2051680088043213
121.128.92.46,183,1721294436.4758012,0.2042863368988037
121.128.92.46,184,1721294436.5103016,0.2049884796142578
121.128.92.46,185,1721294436.5431566,0.20416569709777832
121.128.92.46,186,1721294436.5775218,0.2047727108001709
121.128.92.46,187,1721294436.6111429,0.20519185066223145
121.128.92.46,188,1721294436.6441355,0.20463156700134277
121.128.92.46,189,1721294436.6782393,0.20498228073120117
121.128.92.46,190,1721294436.7113588,0.20431876182556152
121.128.92.46,191,1721294436.7457123,0.20502233505249023
121.128.92.46,192,1721294436.778746,0.2042248249053955
121.128.92.46,193,1721294436.8144093,0.20608019828796387
121.128.92.46,194,1721294436.8467004,0.20455050468444824
121.128.92.46,195,1721294436.8809016,0.20509552955627441
121.128.92.46,196,1721294436.9139383,0.2048203945159912
121.128.92.46,197,1721294436.9468107,0.20425868034362793
121.128.92.46,198,1721294436.9832516,0.20689964294433594
121.128.92.46,199,1721294437.014272,0.2041919231414795
121.128.92.46,200,1721294437.0484114,0.20472931861877441
121.128.92.46,201,1721294437.0812964,0.2042224407196045
121.128.92.46,202,1721294437.1171572,0.20675921440124512
121.128.92.46,203,1721294437.1486747,0.20512175559997559
121.128.92.46,204,1721294437.1816688,0.20452475547790527
121.128.92.46,205,1721294437.2150354,0.2045154571533203
121.128.92.46,206,1721294437.2503583,0.2060682773590088
121.128.92.46,207,1721294437.2825038,0.2045118808746338
121.128.92.46,208,1721294437.31643,0.20520901679992676
121.128.92.46,209,1721294437.3518631,0.20673108100891113
121.128.92.46,210,1721294437.3843436,0.2055826187133789
121.128.92.46,211,1721294437.4239142,0.21155309677124023
121.128.92.46,212,1721294437.4558406,0.2094864845275879
121.128.92.46,213,1721294437.4863558,0.20648670196533203
121.128.92.46,214,1721294437.5185223,0.20526814460754395
121.128.92.46,215,1721294437.5529137,0.2059776782989502
121.128.92.46,216,1721294437.5869133,0.20640134811401367
121.128.92.46,217,1721294437.6197748,0.2055518627166748
121.128.92.46,218,1721294437.6527774,0.2045903205871582
121.128.92.46,219,1721294437.7083375,0.22644543647766113
121.128.92.46,220,1721294437.722612,0.20693182945251465
121.128.92.46,221,1721294437.7551825,0.20568251609802246
121.128.92.46,222,1721294437.7945364,0.21128535270690918
121.128.92.46,223,1721294437.823551,0.2066960334777832
121.128.92.46,224,1721294437.8550882,0.20426630973815918
121.128.92.46,225,1721294437.8893209,0.20467376708984375
121.128.92.46,226,1721294437.9225588,0.20423579216003418
121.128.92.46,227,1721294437.9565558,0.20432782173156738
121.128.92.46,228,1721294437.9934435,0.20747637748718262
121.128.92.46,229,1721294438.024478,0.20491290092468262
121.128.92.46,230,1721294438.059537,0.206650972366333
121.128.92.46,231,1721294438.093282,0.20659995079040527
121.128.92.46,232,1721294438.124703,0.2046189308166504
121.128.92.46,233,1721294438.1608996,0.2074136734008789
121.128.92.46,234,1721294438.1948736,0.20757365226745605
121.128.92.46,235,1721294438.2327538,0.21163368225097656
121.128.92.46,236,1721294438.2594361,0.20484423637390137
121.128.92.46,237,1721294438.293289,0.2049410343170166
121.128.92.46,238,1721294438.3272722,0.20516109466552734
121.128.92.46,239,1721294438.3604367,0.20472979545593262
121.128.92.46,240,1721294438.3948812,0.20557522773742676
121.128.92.46,241,1721294438.4278681,0.20470404624938965
121.128.92.46,242,1721294438.461625,0.20502114295959473
121.128.92.46,243,1721294438.4956076,0.2054896354675293
121.128.92.46,244,1721294438.5285506,0.20475053787231445
121.128.92.46,245,1721294438.561933,0.2044050693511963
121.128.92.46,246,1721294438.595934,0.20514297485351562
121.128.92.46,247,1721294438.6303642,0.20580816268920898
121.128.92.46,248,1721294438.6642003,0.20601129531860352
121.128.92.46,249,1721294438.697123,0.20547103881835938
121.128.92.46,250,1721294438.729598,0.20453596115112305
121.128.92.46,251,1721294438.7636306,0.20504355430603027
121.128.92.46,252,1721294438.797475,0.20570802688598633
121.128.92.46,253,1721294438.831185,0.20582318305969238
121.128.92.46,254,1721294438.864192,0.20510292053222656
121.128.92.46,255,1721294438.897815,0.20518207550048828
121.128.92.46,256,1721294438.9307263,0.20449423789978027
121.128.92.46,257,1721294438.9648294,0.20481038093566895
121.128.92.46,258,1721294438.9987907,0.20523977279663086
121.128.92.46,259,1721294439.032295,0.20488405227661133
121.128.92.46,260,1721294439.0652587,0.20454168319702148
121.128.92.46,261,1721294439.0992799,0.20500588417053223
121.128.92.46,262,1721294439.1332374,0.2053394317626953
121.128.92.46,263,1721294439.1658964,0.20463347434997559
121.128.92.46,264,1721294439.1998947,0.20497369766235352
121.128.92.46,265,1721294439.237375,0.20870709419250488
121.128.92.46,266,1721294439.267364,0.2051379680633545
121.128.92.46,267,1721294439.3035,0.20769882202148438
121.128.92.46,268,1721294439.3335173,0.20439624786376953
121.128.92.46,269,1721294439.3673866,0.20477652549743652
121.128.92.46,270,1721294439.4008992,0.20507121086120605
121.128.92.46,271,1721294439.4337766,0.20429563522338867
121.128.92.46,272,1721294439.4691746,0.2059636116027832
121.128.92.46,273,1721294439.5025535,0.20575237274169922
121.128.92.46,274,1721294439.535563,0.20503807067871094
121.128.92.46,275,1721294439.5695393,0.20583438873291016
121.128.92.46,276,1721294439.6071837,0.20995879173278809
121.128.92.46,277,1721294439.6352208,0.20441675186157227
121.128.92.46,278,1721294439.6880696,0.22358369827270508
121.128.92.46,279,1721294439.7036743,0.20563220977783203
121.128.92.46,280,1721294439.7366912,0.20497632026672363
121.128.92.46,281,1721294439.7739437,0.20861363410949707
121.128.92.46,282,1721294439.803805,0.20505213737487793
121.128.92.46,283,1721294439.8364823,0.20405340194702148
121.128.92.46,284,1721294439.8708725,0.20468950271606445
121.128.92.46,285,1721294439.905381,0.20540404319763184
121.128.92.46,286,1721294439.9378984,0.20468544960021973
121.128.92.46,287,1721294439.9718878,0.2049849033355713
121.128.92.46,288,1721294440.0087345,0.2081923484802246
121.128.92.46,289,1721294440.038967,0.20486688613891602
121.128.92.46,290,1721294440.0727239,0.20508074760437012
121.128.92.46,291,1721294440.1075573,0.2061753273010254
121.128.92.46,292,1721294440.1438525,0.20871448516845703
121.128.92.46,293,1721294440.176381,0.20749616622924805
121.128.92.46,294,1721294440.2091367,0.20651674270629883
121.128.92.46,295,1721294440.2409399,0.20464277267456055
121.128.92.46,296,1721294440.2745318,0.20489072799682617
121.128.92.46,297,1721294440.3085556,0.20530366897583008
121.128.92.46,298,1721294440.3450599,0.20807385444641113
121.128.92.46,299,1721294440.3761196,0.20528554916381836
121.128.92.46,300,1721294440.4089892,0.20449519157409668
121.128.92.46,301,1721294440.443104,0.20493197441101074
121.128.92.46,302,1721294440.4766307,0.2047116756439209
121.128.92.46,303,1721294440.5115469,0.20588994026184082
121.128.92.46,304,1721294440.5434675,0.20433640480041504
121.128.92.46,305,1721294440.578439,0.2057499885559082
121.128.92.46,306,1721294440.6113236,0.20481657981872559
121.128.92.46,307,1721294440.6442344,0.20446443557739258
121.128.92.46,308,1721294440.677588,0.20413994789123535
121.128.92.46,309,1721294440.7121882,0.20498323440551758
121.128.92.46,310,1721294440.7461271,0.20524120330810547
121.128.92.46,311,1721294440.7797718,0.20513582229614258
121.128.92.46,312,1721294440.8122702,0.20426106452941895
121.128.92.46,313,1721294440.848203,0.20656490325927734
121.128.92.46,314,1721294440.8810613,0.20557427406311035
121.128.92.46,315,1721294440.9139516,0.2047886848449707
121.128.92.46,316,1721294440.9479566,0.20492148399353027
121.128.92.46,317,1721294440.9816682,0.20503020286560059
121.128.92.46,318,1721294441.0156693,0.20559024810791016
121.128.92.46,319,1721294441.0515637,0.2078237533569336
121.128.92.46,320,1721294441.0890522,0.2116832733154297
121.128.92.46,321,1721294441.116139,0.20500802993774414
121.128.92.46,322,1721294441.149037,0.20467090606689453
121.128.92.46,323,1721294441.183034,0.2050950527191162
121.128.92.46,324,1721294441.2172348,0.205582857131958
121.128.92.46,325,1721294441.2496445,0.2044215202331543
121.128.92.46,326,1721294441.2962952,0.21733307838439941
121.128.92.46,327,1721294441.3174067,0.2046825885772705
121.128.92.46,328,1721294441.35114,0.20466113090515137
121.128.92.46,329,1721294441.3861868,0.20602989196777344
121.128.92.46,330,1721294441.4190726,0.20516657829284668
121.128.92.46,331,1721294441.454488,0.2067279815673828
121.128.92.46,332,1721294441.4854517,0.20436859130859375
121.128.92.46,333,1721294441.5211625,0.20652246475219727
121.128.92.46,334,1721294441.5546381,0.20683026313781738
121.128.92.46,335,1721294441.586217,0.20459294319152832
